Subject,d_RT_t1,d_ACC_t1,d_RT_t2,d_ACC_t2
1,0.2086627275826425,0.5096552046952489,-0.02244274573929937,0
10,0.04966525375924986,0.06863365677505001,-0.054615318303048145,0.4635708782739416
11,0.5314385176615545,-0.08277981092270975,-0.08082696210019542,-0.4598323424168094
12,0.36711176491847153,0.3582910797441024,-0.09804297250780337,-0.1497123679040857
13,0.3628321044032789,-0.18494025670665817,0.11106140474255054,-0.16514456476895426
14,0.2807033119942441,0.1521093517899566,-0.6256488552640938,0.13021720984236448
15,-0.1423194626801928,0.10600988273786156,0.2613943609447643,-0.16419051539483664
16,0.7062480187549495,0.2604152298810939,0.12825282422768183,0.320361637758594
17,0.2934063237001642,0,0.4559548185325986,0.05327689881738832
18,0.5702716468946757,0.42283315715288805,-0.24024403243730355,-0.5277986629117476
19,0.21920977647050202,0.1521093517899566,0.5341176921047728,0
2,0.3507168910600287,-0.2409493319472076,0.23146487414866188,0.2753479348488116
20,0.6250295149418054,0.4057723041198076,-0.02531304907777491,0
21,0.31127337295585705,0.10600988273786156,-0.21656420958023367,0.39762810276451527
22,0.15302674447147938,0.4504189083314064,0.014613742953836198,-0.42426406871192857
23,0.27749658925175535,-0.1075224218258555,0.20427673792384832,-0.10211663667900027
24,0.181516303575887,0,0.29869544091005473,NA
25,0.02485168432866059,0,0.613853094660784,0
26,0.12194302560685862,0.32172779166529075,0.7492574662688567,-0.320361637758594
27,0.06553407082990473,0,0.07609397411834593,0.2280350850198273
28,0.3059132785271732,0.2604152298810939,-0.22932560649063777,0.3096798981920883
29,0.04038574821525454,-0.32172779166529075,-0.8720155143646152,0.10211663667900027
3,0.39780121982753236,0.4210427475983457,-0.14252820913133066,-0.1497123679040857
30,0.42006298338967596,0.18257418583505594,-0.15960044198323192,0.320361637758594
31,0.12894049574105376,0,-0.2803070246334163,-0.3096798981920883
32,0.26020381085110883,0,0.25864506221199374,0.12366938848016829
33,0.1110194011628538,0,-0.49156750983286973,0
34,0.052324415926072364,0.26742316936860855,-0.13702868239892854,0.09999999999999999
35,0.495770782617529,-0.18494025670665817,-0.31426784007816044,0.22360679774997919
36,0.42505856659749286,0.18257418583505594,-6.575152962281201e-4,NA
37,0.06477152678683476,0,0.4423624459566508,0
38,0.3935455142896577,0.18257418583505594,0.28836426351895994,0
39,0.023604751669416415,-0.2604152298810939,0.6715383499376153,0.5691206419422383
4,0.6609657167246298,0.18257418583505594,-0.21224539880161494,-0.6742583165646883
40,0.5906673428804045,0.42283315715288805,0.07946937000980998,0
41,0.2045235968245838,0.18257418583505594,0.3339283382333334,0.33380918415851196
42,0.2804805497220623,0.18909673650694153,0.3288314911801169,-0.04940193000643249
43,0.43362302180241197,0.2604152298810939,0.3174733664258203,-0.3096798981920883
44,0.8501782957642237,0.6875924007909151,-0.15773937814108438,-1.4840326617620216
45,0.8915676836465343,0.10600988273786156,0.2462320822733431,0.22360679774997919
46,0.5743707255904302,0.32172779166529075,-0.3392781182107,0
47,0.4917805274882344,0.2604152298810939,-0.040607608545467896,-0.22360679774997919
48,0.5347185596636493,0,-0.04695436830256764,-0.2644245047742352
49,0.18780586082885523,0.42283315715288805,0.5796140744864825,0.5413341589204399
5,0.16648941916803414,0.15035080307292797,-0.039396732522738315,-0.8618916073713345
50,0.15381851151992734,0.4057723041198076,0.01724545728755243,-0.12366938848016829
51,-0.21740372173149417,0.16004702637421925,0.0955887651734856,0.2792848008753787
52,-0.1399930808453033,0.3069390441868016,0.28605487431809273,0
53,0.47972535036657077,0.2604152298810939,-0.22417625484836792,-0.10211663667900027
54,0.5823361045899254,0.4057723041198076,0.04908537789402301,0.564881323014763
55,0.8522920753138169,-0.18257418583505594,-0.11571557295945831,0.0874474632195207
56,0.39475966159907927,0.32172779166529075,-0.16246428825380335,-0.23603873774083314
57,0.3726190349244039,0.2127640528836781,0.1782073598006361,0.16514456476895426
58,0.058325736760464764,-0.18494025670665817,-0.2279914662110591,0.42426406871192857
59,-0.05910622970892983,0.2894118651878796,-0.315082902659099,0.24880667576405963
6,-0.041017245629530255,0.18257418583505594,0.23036665299043058,-0.22360679774997919
60,0.42550573367403166,0.4674596437325028,0.04175165941712022,-0.5277986629117476
61,-0.31619757801589915,0,0.6163697163717017,0
62,0.3996664679280994,NA,-0.18715057133182375,-0.3096798981920883
63,0.4643525792575907,-0.06277910293133443,-0.21373831915725083,-0.1882937743382541
64,0.49491477034299136,-0.18257418583505594,-0.13772297285848786,0.16514456476895426
65,-1.3281910624413504,-0.18257418583505594,1.5811245015138065,-0.22360679774997919
66,-0.05143170692268494,-0.2604152298810939,0.23244350832084507,0.2280350850198273
67,0.06913716996212524,-0.2894118651878796,0.03451288400649211,NA
68,0.7029185446307017,0.18257418583505594,-0.1625308452546327,0.1302172098423648
69,-0.2917047336211083,-0.2799513686048483,-0.36208209302841454,0.3020398486548402
7,0.10396997364301669,-0.26742316936860855,0.41708561228639207,-0.22360679774997919
70,0.47046262778291026,0.42283315715288805,-0.16210854621324336,NA
71,-0.10427478330369144,-0.25008832362049066,0.05562264899118001,-0.10211663667900027
72,0.037318516854492625,0.7439610093330064,0.35164749900613496,0.3000000000000001
73,-0.022529743623327828,-0.08277981092270975,0.08989078836165673,0.5277986629117476
74,-0.32563074635604,0.45202765880972845,-0.0633047072549101,-0.16892775191144202
75,-0.1500857717762466,0,0.005901681211660264,4.1046315303568965
76,0.3813700595124741,-0.10600988273786156,0.10129062468417803,-0.38183031902058856
77,0.4678613723243123,0.2604152298810939,-0.32180713068448324,-0.39762810276451527
78,0.09670825399063808,-0.1521093517899566,0.07153271051690997,0
79,0.41459265091342556,-0.3069390441868016,0.24549216957465353,0.3473018236362009
8,0.09985005715152677,0.10600988273786156,-0.09899523045738748,-0.16514456476895426
80,0.4731991383042979,0,-0.14532877220556462,-0.13860671939014557
81,0.42149679982310295,0.18257418583505594,0.26521715045925154,0.5277986629117476
82,0.3852143102446612,NA,0.26843758024530284,-0.1882937743382541
83,0.008856434721076034,-0.06618235365012062,-0.1555285439150567,0.35387760284901504
84,0.004307837578276768,0.2604152298810939,0.6514752677449659,0.3096798981920883
85,0.2788355928409155,0.14255339201576672,-0.3174236570575525,-0.38183031902058856
86,0.6105304913480519,0.25008832362049066,0.2738072837328333,0.1882937743382541
87,0.28518262369416486,0.4093827095744895,0.1530891475904898,-0.07172948301437314
88,0.1413243251229751,0.2604152298810939,0.22331462778113007,0.22360679774997919
89,-0.23817350888389274,0.08277981092270975,-0.3059166788580731,-0.22360679774997919
9,0.39110682512253564,0.5014896819559395,0.54942568895326,-0.21633307652783954
90,0.7307261389167099,0.26742316936860855,0.20633371052032773,0.5067832557343256
91,-0.18652679219055704,0.33651051437184604,0.4936190206208085,0
92,0.13156697605566584,-0.10600988273786156,-0.08080591589279794,-0.33380918415851196
93,0.37771217285054814,0.2604152298810939,-0.17266300173387183,0.36446369841993875
94,-0.12810752488244648,0.32172779166529075,0.048680405835043405,0.3096798981920883
95,0.34523490697066495,0.18494025670665817,0.29621724395146665,0.320361637758594
96,0.7164291460188854,0.18909673650694153,-0.5606255742196351,0
97,0.47819754349376964,-0.1521093517899566,0.35409713219139183,0
98,0.1716314948695062,0,0.31730026689823204,-0.3096798981920883
99,0.10971121359478497,-0.09735456664474626,0.21991260451430206,-0.07172948301437305
