Subject,mean_logRT_compatible,mean_logRT_incompatible,IAT_score
1,6.23097577444361,6.452272509963564,0.221296735519954
11,6.521401390897032,6.6080336053118875,0.08663221441485547
12,6.250126295439648,6.291933190982399,0.0418068955427513
13,6.3363986461406885,6.441610250503785,0.10521160436309618
14,6.3300535500072614,6.388658835199068,0.05860528519180619
16,6.293406497802859,6.389146827429458,0.09574032962659818
18,6.519957593324555,6.72477950192478,0.2048219086002252
19,6.218140245524063,6.331267653506479,0.11312740798241538
20,6.292212994336751,6.4299661555565395,0.13775316121978864
21,6.2513131922281255,6.418627940778338,0.16731474855021222
22,6.620822010678447,6.5169304739330265,-0.10389153674542051
24,6.245624887094644,6.377408067902896,0.13178318080825147
25,6.384317911130622,6.557575597874619,0.17325768674399722
26,6.365899901504356,6.492281016921051,0.12638111541669517
27,6.315757754002907,6.469088154136433,0.15333040013352583
28,6.3807093054378585,6.454354841344567,0.0736455359067083
29,6.251188905048113,6.283158870704401,0.0319699656562884
3,6.492845074090566,6.546506286414923,0.053661212324357166
30,6.456825323659972,6.594018921203925,0.13719359754395288
31,6.217850986522698,6.3957917738561765,0.17794078733347884
32,6.761193386315131,6.709280431353439,-0.05191295496169168
33,6.508982962535572,6.510076374988686,0.0010934124531143397
35,6.392601408624631,6.506912499455352,0.11431109083072144
36,6.296420207440415,6.358260206498954,0.061839999058538986
37,6.643379443142849,6.7012476243458545,0.05786818120300552
38,6.4068808072975845,6.572260451932457,0.1653796446348723
39,6.547986275753924,6.666417448702354,0.11843117294843086
4,6.563915820837564,6.6846199716494805,0.12070415081191666
40,6.329417648041862,6.372598601765009,0.04318095372314712
41,6.267954683283507,6.430309299321185,0.1623546160376783
43,6.345254941291828,6.393916247015596,0.048661305723768145
45,6.422546268630225,6.542899944244319,0.12035367561409416
46,6.4765576579610125,6.546335709795359,0.06977805183434693
47,6.346876654430535,6.551422604594929,0.2045459501643947
48,6.178667971097495,6.297027709877043,0.11835973877954853
49,6.335019636686442,6.565378709847128,0.2303590731606855
50,6.304178182057042,6.4445161233308585,0.14033794127381682
51,6.3104381186433764,6.525423408748676,0.21498529010529932
52,6.30443052276531,6.444801426353566,0.14037090358825566
53,6.376405588726773,6.4856782844516685,0.10927269572489529
54,6.370702265998271,6.443783397380375,0.07308113138210359
55,6.502067903896971,6.499269379095724,-0.002798524801247204
56,6.241757750179911,6.398665848760749,0.1569080985808382
57,6.279710362912232,6.48725061395415,0.20754025104191776
58,6.332725806626237,6.6030652416673,0.2703394350410635
59,6.412156943384076,6.577608434492341,0.16545149110826518
6,6.289430261905767,6.463511772207035,0.17408151030126806
60,6.295861162500363,6.470349524680191,0.17448836217982855
62,6.489456184099998,6.451156738807665,-0.03829944529233309
63,6.381777769762438,6.448338702774338,0.06656093301189969
64,6.623065677964044,6.791606658742314,0.1685409807782694
65,6.366055932917315,6.413166761875829,0.04711082895851337
66,6.218206186548151,6.349054649234383,0.13084846268623274
67,6.486486664008409,6.492180204119426,0.005693540111016304
68,6.314773817374332,6.41013301409054,0.09535919671620796
7,6.126103484329892,6.262816929835076,0.13671344550518416
70,6.292207684621128,6.495979211262735,0.20377152664160647
71,6.26844539083329,6.4064020379080775,0.1379566470747875
73,6.472466292314872,6.597866322924623,0.12540003060975113
76,6.534799659722581,6.570705058863244,0.03590539914066326
77,6.513445662067423,6.464124797512293,-0.049320864555130406
78,6.330176639514178,6.471318417025594,0.14114177751141543
79,6.342125545045251,6.4549439484254245,0.11281840338017357
8,6.386432771469184,6.491531753588744,0.10509898211955981
80,6.335830318851794,6.380249792654079,0.04441947380228495
81,6.399018132000128,6.386142943088526,-0.012875188911602109
82,6.415479981035015,6.471295194218572,0.05581521318355698
84,6.395593422733323,6.522228130967563,0.12663470823424028
85,6.427344646692889,6.555679253945943,0.1283346072530538
86,6.437172932719284,6.5675106340198814,0.13033770130059708
87,6.471884097112553,6.496546831963135,0.024662734850582346
88,6.378355813516227,6.455847213758028,0.07749140024180079
89,6.347434694365125,6.480153408145779,0.1327187137806538
9,6.464435923507727,6.531157490237686,0.06672156672995921
90,6.2623921247436245,6.412293447665102,0.14990132292147784
91,6.356495530563835,6.542832792754445,0.18633726219060964
92,6.328233120150838,6.545145532451536,0.21691241230069824
93,6.444596541502222,6.748469343375036,0.3038728018728136
94,6.41010066911464,6.501579645579826,0.09147897646518555
95,6.446293188474758,6.494298734854538,0.048005546379779496
96,6.264741445135568,6.507489207541326,0.24274776240575768
97,6.390168330002021,6.422774537722592,0.03260620772057088
98,6.335839513849136,6.485885535729429,0.1500460218802937
