Subject,d_prime_goodme_badothers,d_prime_badme_goodothers
1,3.289707254,2.426679245
2,2.661123026,-1.084924809
3,2.611329051,1.869178582
4,3.919927969,1.968469921
5,2.300698761,0.410184631
6,4.7879596,4.160556905
7,3.002171892,3.174111665
8,3.463328792,2.493440997
9,2.26067835,1.774293118
10,0.793188573,-0.251322694
11,2.939225489,2.636021795
12,3.068241089,2.793425291
13,3.211459212,2.563103131
14,3.560928683,2.183240735
15,3.667829272,1.639004215
16,4.073668263,4.482805455
17,3.560928683,1.469472956
18,3.002171892,2.362517242
19,3.560928683,2.493440997
20,2.939225489,2.300698761
21,3.373341633,3.068241089
22,2.879062942,2.241003534
23,0.74819082,2.636021795
24,3.373341633,3.919927969
25,3.463328792,2.712623491
26,3.786369069,3.725463735
27,4.482805455,3.068241089
28,3.786369069,3.417470516
29,3.919927969,3.417470516
30,4.7879596,3.919927969
31,3.667829272,3.417470516
32,3.137839265,1.968469921
33,3.560928683,2.970330914
34,2.611329051,-0.282936603
35,4.256090468,4.482805455
36,5.276514547,4.482805455
37,3.786369069,1.728320009
38,5.276514547,3.289707254
39,3.373341633,2.183240735
40,3.919927969,2.879062942
41,4.256090468,2.970330914
