Words,ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Fix.started,fix.started,Fix.stopped,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,iso_Practice.started,fb.started,fb.stopped,iso_Practice.stopped,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
我,e,0,0,0,0,0.027136299999938274,,0.020850600000130726,0.027136299999938274,0.5050243000000592,0.5050347999999758,0.510926100000006,0.510926100000006,0.8769219000000703,e,1,0.36033659999998235,None,0.8772346000000653,0.8849864999999681,1.8745894000001044,1.8688664999999673,,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
我的,e,0,1,1,1,1.8745894000001044,,1.869039000000157,1.8745894000001044,2.3599172000001545,2.3599295999999867,2.3716510000001563,2.3716510000001563,2.8386546000001545,i,0,0.46181049999995594,None,2.8389028999999937,2.8459722000000056,3.838252799999964,3.8324173000000883,2.3656054000000495,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
我们,e,0,2,2,2,3.838252799999964,,3.832578300000023,3.838252799999964,4.323921800000107,4.323935399999982,4.330783300000121,4.330783300000121,4.863148500000079,i,0,0.5276174999999057,None,4.863432399999965,4.868476999999984,5.862406299999975,5.857539999999972,4.330783300000121,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
自己,e,0,3,3,3,5.862406299999975,,5.857788600000049,5.862406299999975,6.347966300000053,6.348005999999941,6.353340300000127,6.353340300000127,6.687166400000024,e,1,0.32868469999993977,None,6.68738170000006,6.693389600000046,7.681508399999984,7.678665899999942,6.353340300000127,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
俺,e,0,4,4,4,7.681508399999984,,7.679065600000058,7.681508399999984,8.165907600000082,8.165920599999936,8.177717199999961,8.177717199999961,8.596298400000023,e,1,0.4152172999999948,None,8.596539600000142,8.60167330000013,9.595881400000053,9.59071670000003,8.171505100000104,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
他,i,0,5,5,5,9.595881400000053,,9.590952600000037,9.595881400000053,10.081061900000122,10.081073999999944,10.086636799999951,10.086636799999951,10.530003000000079,e,0,0.4379196999998385,None,10.53024389999996,10.53521580000006,11.529079899999942,11.523827200000142,10.086636799999951,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
他们,i,0,6,6,6,11.529079899999942,,11.524060100000042,11.529079899999942,12.012104099999988,12.012121100000059,12.023386600000094,12.023386600000094,12.209160900000143,i,1,0.17865249999999833,None,12.209471500000063,12.213942300000099,13.20829290000006,13.202143200000137,12.017456400000128,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
他的,i,0,7,7,7,13.20829290000006,,13.20234000000005,13.20829290000006,13.693990799999938,13.69400410000003,13.698671999999988,13.698671999999988,13.76084220000007,i,1,0.05742239999995036,None,13.76116930000012,13.765443700000105,14.759791899999982,14.753800899999987,13.698671999999988,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
他人,i,0,8,8,8,14.759791899999982,,14.75399440000001,14.759791899999982,15.244912600000134,15.244925200000125,15.250422500000013,15.250422500000013,15.257768700000042,i,1,0.004170899999962785,None,15.258007399999997,15.26236659999995,16.250451600000133,16.24554039999998,15.250422500000013,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
其他,i,0,9,9,9,16.250451600000133,,16.24579289999997,16.250451600000133,16.735717000000022,16.73572749999994,16.747320100000024,16.747320100000024,16.82108100000005,i,1,0.07222669999987374,None,16.82131870000012,16.8263343000001,17.82006010000009,17.814493099999936,16.74198760000013,187918,001,2024-06-17_14h07.33.654,Ios_practice,2024.1.4,None,2024-06-17 14h07.37.767705 +0800,
